CIUDAD	LATITUD	LONGITUD	DEMANDA (PALLETS/AÑO)
La Paz	-16.4897	-68.1193	18000
El Alto	-16.5047	-68.1630	12000
Santa Cruz de la Sierra	-17.7833	-63.1821	26000
Montero	-17.3387	-63.2554	6000
Warnes	-17.5134	-63.1470	7000
Cochabamba	-17.3895	-66.1568	16000
Quillacollo	-17.4023	-66.2857	5000
Sacaba	-17.4047	-66.0360	5500
Oruro	-17.9715	-67.1116	9000
Sucre	-19.0196	-65.2610	7000
Potosí	-19.5889	-65.7531	5000
Tarija	-21.5355	-64.7296	6000
Trinidad	-14.8344	-64.9052	4000
Cobija	-11.0264	-68.7692	2500
Viacha	-16.6500	-68.3000	4500
