CIUDAD	LATITUD	LONGITUD	DEMANDA (PALLETS/AÑO)
Lima	-12.0464	-77.0428	35000
Arequipa	-16.3989	-71.5350	25000
Trujillo	-8.1159	-79.0299	20000
Chiclayo	-6.7632	-79.8367	18000
Piura	-5.1945	-80.6328	16000
Iquitos	-3.7484	-73.2458	12000
Cusco	-13.5319	-71.9675	15000
Chimbote	-9.0750	-78.5833	14000
Huancayo	-12.0695	-75.2066	10000
Pucallpa	-8.3833	-74.5500	9000
Tacna	-18.0148	-70.2498	8000
Juliaca	-15.4919	-70.1333	7500
Ica	-14.0675	-75.7281	7000
Sullana	-4.9000	-80.6833	6500
Ayacucho	-13.1631	-74.2258	6000
Huaraz	-9.5233	-77.5283	5500
Tarapoto	-6.4833	-76.3667	5000
Puno	-15.8402	-70.0217	4800
Cajamarca	-7.1625	-78.5075	4500
Huanuco	-9.9333	-76.2500	4200
Moyobamba	-6.0333	-76.9667	4000
Tumbes	-3.5500	-80.4500	3800
Pisco	-13.7167	-76.2000	3500
Jaén	-5.7000	-78.8000	3200
Chachapoyas	-6.2333	-77.8667	3000
Huánuco	-9.9333	-76.2500	2800
Cerro de Pasco	-10.6667	-76.2667	2500
Paita	-5.0833	-81.1167	2200
Barranca	-10.7500	-77.7500	2000
