CIUDAD	LATITUD	LONGITUD	DEMANDA (PALLETS/AÑO)
Quito	-0.1807	-78.4678	22000
Guayaquil	-2.1962	-79.8862	28000
Cuenca	-2.9006	-79.0045	15000
Santo Domingo	-0.2530	-79.1878	10000
Machala	-3.2588	-79.9556	12000
Manta	-0.9500	-80.7167	9000
Loja	-3.9931	-79.2046	7000
Ambato	-1.2491	-78.6161	11000
Esmeraldas	0.9600	-79.6500	8000
Ibarra	0.3500	-78.1200	6000
Riobamba	-1.6667	-78.6333	7500
Portoviejo	-1.0547	-80.4531	9500
Quevedo	-1.0333	-79.4667	5000
Latacunga	-0.9333	-78.6167	6500
Tulcán	0.8167	-77.7167	4000
Babahoyo	-1.8000	-79.5333	5500
Ventanas	-1.4333	-79.4667	3000
Puyo	-1.4833	-77.9833	4500
Salinas	-2.2167	-80.9667	3500
Atacames	0.8667	-79.8500	4000
Balao	-2.1333	-79.9333	3200
Caluma	-1.9667	-79.3667	2800
Chone	-0.6833	-80.0833	3600
Daule	-2.1833	-79.9667	4200
Naranjal	-2.6667	-79.6167	2500
