CIUDAD	LATITUD	LONGITUD	DEMANDA (PALLETS/AÑO)
Ciudad de México	19.4326	-99.1332	50000
Ecatepec de Morelos	19.6018	-99.0507	35000
Guadalajara	20.6597	-103.3496	40000
Puebla	19.0414	-98.2063	30000
Juárez	31.7385	-106.4870	25000
Tijuana	32.5149	-117.0382	28000
León	21.1169	-101.6869	22000
Zapopan	20.7200	-103.3745	20000
Monterrey	25.6866	-100.3161	32000
Mérida	20.9754	-89.6168	18000
Chihuahua	28.6329	-106.0691	16000
Nezahualcóyotl	19.4000	-99.0167	15000
Mexicali	32.6277	-115.4545	14000
Culiacán	24.8056	-107.3936	13000
Acapulco	16.8635	-99.8906	12000
Tlalnepantla	19.5333	-99.1956	11000
Cancún	21.1619	-86.8515	10000
Querétaro	20.5881	-100.3880	9500
Morelia	19.7008	-101.1844	9000
Hermosillo	29.0667	-110.9667	8500
Saltillo	25.4232	-101.0053	8000
Torreón	25.5439	-103.4184	7500
San Luis Potosí	22.1565	-100.9855	7000
Aguascalientes	21.8823	-102.2829	6500
Tampico	22.2923	-97.8658	6000
Matamoros	25.8667	-97.5000	5500
Colima	19.2450	-103.7241	5000
Durango	24.0277	-104.6532	4800
Cuautitlán Izcalli	19.6500	-99.2333	4500
Tlaquepaque	20.6500	-103.3000	4200
Toluca	19.2892	-99.6556	4000
Chimalhuacán	19.4167	-98.9000	3800
Tuxtla Gutiérrez	16.7500	-93.1167	3500
Veracruz	19.1738	-96.1342	3200
Xalapa	19.5439	-96.9094	3000
Oaxaca	17.0667	-96.7000	2800
Chetumal	18.5000	-88.3000	2500
Tepic	21.5000	-104.8833	2200
Campeche	19.8500	-90.5333	2000
La Paz	24.1426	-110.3146	1800
Tapachula	14.9000	-92.2667	1600
Tulancingo	20.0833	-98.3667	1400
Coatzacoalcos	18.1500	-94.4333	1200
Nogales	31.3167	-110.9500	1000
Los Mochis	25.7667	-108.9833	900
Poza Rica	20.5167	-97.4500	800
Ciudad Obregón	27.4833	-109.9333	700
Uruapan	19.4000	-102.0667	600
Ciudad Victoria	23.7333	-99.1500	500
Pachuca	20.1000	-98.7500	400
Ciudad del Carmen	18.6333	-91.8333	300
